2023.10.26 12:17:25 INFO  Started: Metals version 1.1.0 in folders '/Users/vijay185.kumar/Downloads/VSCode' for client Visual Studio Code 1.82.0.
2023.10.26 12:17:28 INFO  Running List(/Users/vijay185.kumar/Library/Application Support/Coursier/bin/scala-cli, setup-ide, /Users/vijay185.kumar/Downloads/VSCode)
2023.10.26 12:17:28 INFO  Attempting to connect to the build server...
2023.10.26 12:17:28 INFO  Running BSP server List(/Users/vijay185.kumar/Library/Application Support/Coursier/bin/.scala-cli.aux, bsp, --json-options, /Users/vijay185.kumar/Downloads/VSCode/.scala-build/ide-options-v2.json, /Users/vijay185.kumar/Downloads/VSCode)
2023.10.26 12:17:28 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/vijay185.kumar/Downloads/VSCode/.metals/bsp.trace.json or /Users/vijay185.kumar/Library/Caches/org.scalameta.metals/bsp.trace.json
2023.10.26 12:17:28 INFO  BSP server: Downloading https://github.com/coursier/jvm-index/raw/master/index.json
2023.10.26 12:17:29 INFO  BSP server: Downloaded https://github.com/coursier/jvm-index/raw/master/index.json
2023.10.26 12:17:29 INFO  BSP server: Downloading https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_aarch64_mac_hotspot_17_35.tar.gz
2023.10.26 12:17:34 INFO  BSP server: Still downloading:
2023.10.26 12:17:34 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_aarch64_mac_hotspot_17_35.tar.gz (30.79 %, 56159104 / 182381849)
2023.10.26 12:17:34 INFO  BSP server: 
2023.10.26 12:17:39 INFO  BSP server: Still downloading:
2023.10.26 12:17:39 INFO  BSP server: https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_aarch64_mac_hotspot_17_35.tar.gz (80.76 %, 147284544 / 182381849)
2023.10.26 12:17:39 INFO  BSP server: 
2023.10.26 12:17:41 INFO  BSP server: Downloaded https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17%2B35/OpenJDK17-jdk_aarch64_mac_hotspot_17_35.tar.gz
2023.10.26 12:17:45 INFO  BSP server: Starting compilation server
2023.10.26 12:17:45 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.9-sc-1/bloop-frontend_2.12-1.5.9-sc-1.pom
2023.10.26 12:17:45 INFO  BSP server: Downloaded https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-frontend_2.12/1.5.9-sc-1/bloop-frontend_2.12-1.5.9-sc-1.pom
2023.10.26 12:17:45 INFO  BSP server: Downloading https://repo1.maven.org/maven2/io/github/alexarchambault/bleep/bloop-backend_2.12/1.5.9-sc-1/bloop-backend_2.12-1.5.9-sc-1.pom
