Index_tech_id,date,volume
os-metrics-enr-string-636_4,24/07/24,1248474
os-metrics-enr-string-636_5,23/07/24,5163
os-metrics-enr-string-636_5,24/07/24,2856
middleware-enr-numeric-636_7,23/07/24,18600
middleware-enr-numeric-636_7,24/07/24,17610
middleware-enr-numeric-636_8,23/07/24,144
middleware-enr-numeric-636_8,24/07/24,141
middleware-enr-numeric-636_13,23/07/24,432
middleware-enr-numeric-636_13,24/07/24,618
middleware-enr-numeric-636_14,23/07/24,483138
middleware-enr-numeric-636_14,24/07/24,406497
os-metrics-enr-numeric-636_1,23/07/24,5167384
os-metrics-enr-numeric-636_1,24/07/24,4111150
os-metrics-enr-numeric-636_2,23/07/24,947846
os-metrics-enr-numeric-636_2,24/07/24,759254
os-metrics-enr-numeric-636_3,23/07/24,34820
os-metrics-enr-numeric-636_3,24/07/24,26592
os-metrics-enr-numeric-636_4,23/07/24,39574
os-metrics-enr-numeric-636_4,24/07/24,23498
os-metrics-enr-numeric-636_5,23/07/24,798504
os-metrics-enr-numeric-636_5,24/07/24,568126
os-metrics-enr-numeric-636_24,23/07/24,3090
os-metrics-enr-numeric-636_24,24/07/24,904
middleware-enr-unmapped-636_7,23/07/24,9036
middleware-enr-unmapped-636_7,24/07/24,8706
middleware-enr-unmapped-636_8,23/07/24,1008
middleware-enr-unmapped-636_8,24/07/24,969
middleware-enr-unmapped-636_13,23/07/24,324
middleware-enr-unmapped-636_13,24/07/24,468
ros-prometheus-metrics-enr-numeric-636_7,23/07/24,70184
ros-prometheus-metrics-enr-numeric-636_7,24/07/24,41452
ros-prometheus-metrics-enr-numeric-636_14,23/07/24,14881952
ros-prometheus-metrics-enr-numeric-636_14,24/07/24,8779426
ros-prometheus-metrics-enr-numeric-636_16,23/07/24,1587988
ros-prometheus-metrics-enr-numeric-636_16,24/07/24,1460768
ros-prometheus-metrics-enr-numeric-636_17,23/07/24,3856
ros-prometheus-metrics-enr-numeric-636_17,24/07/24,2434
ros-prometheus-metrics-enr-numeric-636_19,23/07/24,5258
ros-prometheus-metrics-enr-numeric-636_19,24/07/24,4094
ros-prometheus-metrics-enr-numeric-636_20,23/07/24,225348
ros-prometheus-metrics-enr-numeric-636_20,24/07/24,146104
ros-prometheus-metrics-enr-numeric-636_21,23/07/24,50274
ros-prometheus-metrics-enr-numeric-636_21,24/07/24,25498
ros-prometheus-metrics-enr-numeric-636_22,23/07/24,4024552
ros-prometheus-metrics-enr-numeric-636_22,24/07/24,2989832
ros-prometheus-metrics-enr-numeric-636_23,23/07/24,47788
ros-prometheus-metrics-enr-numeric-636_23,24/07/24,28754
ros-prometheus-metrics-enr-numeric-636_62,23/07/24,2049428
ros-prometheus-metrics-enr-numeric-636_62,24/07/24,1227350
ros-prometheus-metrics-enr-numeric-636_77,23/07/24,145606
ros-prometheus-metrics-enr-numeric-636_77,24/07/24,135082
ros-prometheus-metrics-enr-numeric-636_80,23/07/24,319774
ros-prometheus-metrics-enr-numeric-636_80,24/07/24,204360
ros-prometheus-metrics-enr-numeric-636_2023031713953002,23/07/24,12422
ros-prometheus-metrics-enr-numeric-636_2023031713953002,24/07/24,7650
ros-prometheus-metrics-enr-numeric-636_20231108162389053,24/07/24,0
ros-prometheus-metrics-enr-unmapped-636_14,23/07/24,172298874
ros-prometheus-metrics-enr-unmapped-636_14,24/07/24,101946795
ros-prometheus-metrics-enr-unmapped-636_16,23/07/24,37242
ros-prometheus-metrics-enr-unmapped-636_16,24/07/24,34698
ros-prometheus-metrics-enr-unmapped-636_17,23/07/24,22953
ros-prometheus-metrics-enr-unmapped-636_17,24/07/24,14670
ros-prometheus-metrics-enr-unmapped-636_19,23/07/24,25218
ros-prometheus-metrics-enr-unmapped-636_19,24/07/24,20940
ros-prometheus-metrics-enr-unmapped-636_20,23/07/24,98349
ros-prometheus-metrics-enr-unmapped-636_20,24/07/24,89910
ros-prometheus-metrics-enr-unmapped-636_21,23/07/24,100848
ros-prometheus-metrics-enr-unmapped-636_21,24/07/24,53301
ros-prometheus-metrics-enr-unmapped-636_22,23/07/24,55851
ros-prometheus-metrics-enr-unmapped-636_22,24/07/24,55191
ros-prometheus-metrics-enr-unmapped-636_23,23/07/24,35595
ros-prometheus-metrics-enr-unmapped-636_23,24/07/24,21420
ros-prometheus-metrics-enr-unmapped-636_62,23/07/24,3467181
ros-prometheus-metrics-enr-unmapped-636_62,24/07/24,2132124
ros-prometheus-metrics-enr-unmapped-636_77,23/07/24,22383
